,authors,title,year,journal,Target condition or disease,condition,diagnosis_or_prognosis,modalities,added_value,dataset_origin,Sample size (Train),Sample size (Test),total_data,centers_characteristics,evaluation_method,"Algorithm mono used (SVM, RF, NN, CNN, etc.)",Algorithm multi used (uni included if late or hybrid fusion),algorithms_used,fusion_method,evaluation_metric,unimodal_best_score,multimodal_best_score,delta,legal_status,medical_device_regulation,medico_economic_evaluation
TRUE,Gu Y & al.,Speech Intention Classification with Multimodal Deep Learning.,2017,Advances in artificial intelligence. Canadian Society for Computational Studies of Intelligence. Conference,"speech, classification",all conditions,Diagnosis / Identification,"Free text, Signal",HIGH,USA,5139,1285,6424,Monocentric,Split-sample validation (1 seul split train/test),"CNN, U-Net","Neural network, FC Net",Neuralnetwork,Late fusion,Accuracy,"0,5964","0,831","0,2346",No,No,No
TRUE,Tian Z & al.,Predicting the diabetic foot in the population of type 2 diabetes mellitus from tongue images and clinical information using multi-modal deep learning.,2024,Frontiers in Physiology,"diabetes, cardiovascular",cardiovascular,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,China,311,80,391,Monocentric,Split-sample validation (1 seul split train/test),ResNet-50,"resnet, FC Layer",Neuralnetwork,Late fusion,Accuracy,"0,925","0,95","0,025",N/A,No,No
TRUE,Lee C & al.,Multimodal deep learning models utilizing chest X-ray and electronic health record data for predictive screening of acute heart failure in emergency department.,2024,Computer Methods and Programs in Biomedicine,"cardiovascular, Heart Failure",cardiovascular,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,China,,,1432,Bicentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""",DenseNet121,DenseNet121,Neuralnetwork,Late fusion,AUC,"0,8634","0,8861","0,0227",No,No,No
TRUE,Miura T & al.,Multimodal deep-learning model using pre-treatment endoscopic images and clinical information to predict efficacy of neoadjuvant chemotherapy in esophageal squamous cell carcinoma.,2025,Esophagus,cancer,cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,Japan,,,170,Monocentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""",ResNet-50,"FC Net, ResNet-50",Neuralnetwork,Hybrid fusion,AUC,"0,64","0,77","0,13",on demand,No,No
TRUE,"Azher Z & al.
",Assessment of emerging pretraining strategies in interpretable multimodal deep learning for cancer prognostication.,2023,BioData mining,"cancer, bladder cancer, Breast cancer, head and neck cancer, renal clear cell cancer, liver cancer, melanoma, pancreatic cancer, lung cancer, renal cancer",cancer,Severity / Prognosis / Prediction,"Omics, Image",HIGH,USA,"3353,6","838,4",4192,Multicentric,Split-sample validation (1 seul split train/test),"ResNet, Neural network",Neural network,Neuralnetwork,Late fusion,C-index,"0,695","0,748375","0,053375",No,No,No
TRUE,Huang K & al.,Predicting colorectal cancer tumor mutational burden from histopathological images and clinical information using multi-modal deep learning.,2022,"Bioinformatics (Oxford, England)",colorectal cancer,cancer,Diagnosis / Identification,"Free text, Image",HIGH,USA,?,?,631,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","ResNet, CNN, VGG, AlexNet, MLP",Neural network,Neuralnetwork,Late fusion,AUC,"0,804","0,817","0,013",repo GH,No,No
TRUE,Shen L & al.,A diagnostic method for cardiomyopathy based on multimodal data.,2023,Biomedizinische Technik. Biomedical engineering,ventricular dysfunction,cardiovascular,Diagnosis / Identification,"Structured/Tabular data, Image",MODERATE,China,NA,NA,1586,Monocentric,Split-sample validation (1 seul split train/test),"CNN, MLP",,Neuralnetwork,Late fusion,Accuracy,"0,8663","0,8972","0,0309",No,No,No
TRUE,Oh S & al.,Deep learning model integrating positron emission tomography and clinical data for prognosis prediction in non-small cell lung cancer patients.,2023,BMC bioinformatics,"cancer, lung cancer",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,South Korea,2149,538,2687,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","MLP (Multi-Layer Perceptron), CPH (Cox Proportionnal Hasard), 3D CNN","MLP (Multi-Layer Perceptron), CPH (Cox Proportionnal Hasard), 3D CNN","CPH(CoxProportionnalHasard),Neuralnetwork",Late fusion,C-index,"0,749","0,756","0,007",No,No,No
TRUE,Jujjavarapu C & al.,Predicting decompression surgery by applying multimodal deep learning to patients' structured and unstructured health data.,2023,BMC medical informatics and decision making,"Lumbar Disc Herniation, Lumbar Spinal Stenosis, Back Pain, orthopedia",rheumatology / orthopedics,Severity / Prognosis / Prediction,"Free text, Structured/Tabular data",MODERATE,USA,NA,NA,8387,Multicentric,External validation,"Logistic regression, LASSO","CNN, Neural network, GRU, RNN, Word2vec","Neuralnetwork,Word2vec,Logisticregression,LASSO",Hybrid fusion,AUC,"0,72","0,595","-0,125",repo GH,No,No
TRUE,Zhang K & al.,Predicting multiple sclerosis severity with multimodal deep neural networks.,2023,BMC medical informatics and decision making,"multiple sclerosis, neurology",neurology,Severity / Prognosis / Prediction,"Structured/Tabular data, Image, Free text",HIGH,USA,240,60,300,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","ResNet, CNN, GNN (graph neural network)",RNN,Neuralnetwork,Late fusion,AUC,"0,7945","0,838","0,0435",No,No,No
TRUE,Hilbert K & al.,"Separating generalized anxiety disorder from major depression using clinical, hormonal, and structural MRI data: A multimodal machine learning study.",2017,Brain and behavior,"psychiatry, anxiety, depression",psychiatry,Diagnosis / Identification,"Signal, Structured/Tabular data, Image",HIGH,Europe,?,?,57,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""",SVM,Ensemble,"Ensemble,SVM",Late fusion,Accuracy,"0,96","0,9","-0,06",No,No,No
TRUE,Yao Y & al.,"ICSDA: a multi-modal deep learning model to predict breast cancer recurrence and metastasis risk by integrating pathological, clinical and gene expression data.",2022,Briefings in bioinformatics,"Breast cancer, cancer",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Omics, Image",MODERATE,USA,137,59,196,Multicentric,Split-sample validation (1 seul split train/test),"Random Forest, Logistic regression, SVM","resnet-18, CNN, Neural network, Attention, CBLM","Neuralnetwork,CBLM,RandomForest,Logisticregression,SVM",Hybrid fusion,AUC,"0,54","0,75","0,21",repo GH,No,No
TRUE,Li J & al.,Predicting gastric cancer tumor mutational burden from histopathological images using multimodal deep learning.,2023,Briefings in functional genomics,colorectal cancer,cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,China,NA,NA,509,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","MLP, CNN","MLP, CNN",Neuralnetwork,Late fusion,AUC,"0,793","0,817","0,024",No,No,No
TRUE,Gu T & al.,Classifying Chinese Medicine Constitution Using Multimodal Deep-Learning Model.,2024,Chinese journal of integrative medicine,unbalanced constitutions,all conditions,Diagnosis / Identification,"Signal, Structured/Tabular data, Image",HIGH,China,NA,NA,540,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","Neural network, FC Net, VGG16, RNN, GRU, LSTM, restnet-18, VGG","resnet-18, Neural network, FC Net, VGG16, RNN, GRU, LSTM",Neuralnetwork,Late fusion,AUC,"0,822","0,7407","-0,0813",No,No,No
TRUE,Mahootiha M & al.,Multimodal deep learning for personalized renal cell carcinoma prognosis: Integrating CT imaging and clinical data.,2024,Computer methods and programs in biomedicine,renal cancer,cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,USA,139,81,244,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","3D CNN, EfficientNet B4, FC Net, Random Forest","3D CNN, EfficientNet B4, FC Net, Random Forest","Neuralnetwork,RandomForest",Late fusion,AUC,"0,74","0,8","0,06",Apache License,No,No
TRUE,Kumar S & al.,Ensemble multimodal deep learning for early diagnosis and accurate classification of COVID-19.,2022,Computers & electrical engineering : an international journal,Covid-19,infectious disease,Diagnosis / Identification,"Image, Signal",HIGH,India,?,?,20000,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""",CNN,Neural network,Neuralnetwork,Late fusion,Accuracy,"0,9835","0,9867","0,0032",No,No,No
TRUE,Sheng J & al.,A hybrid multimodal machine learning model for Detecting Alzheimer's disease.,2024,Computers in biology and medicine,Alzheimer,neurology,Diagnosis / Identification,"Structured/Tabular data, Image",HIGH,USA,NA,NA,202,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""",,ILHHO,ILHHO,Late fusion,Accuracy,"0,981","0,992","0,011",No,No,No
TRUE,Schilcher J & al.,Fusion of electronic health records and radiographic images for a multimodal deep learning prediction model of atypical femur fractures.,2024,Computers in biology and medicine,"Atypical Femur Fractures, orthopedia",rheumatology / orthopedics,Diagnosis / Identification,"Structured/Tabular data, Image",HIGH,Europe,NA,NA,1073,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","ResNet-50, CNN, Neural network","['Probability Fusion', 'Feature Fusion', 'Learned Feature Fusion']",Neuralnetwork,Late fusion,AUC,"0,9655","0,9866","0,0211",AGPL-3.0 license,No,No
TRUE,Zhou S & al.,Deep radiomics-based fusion model for prediction of bevacizumab treatment response and outcome in patients with colorectal cancer liver metastases: a multicentre cohort study.,2023,EClinicalMedicine,"cancer, colorectal cancer",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,China,103,65,307,Multicentric,External validation,"Random Forest, Neural network, Res-net-34, EfficientNet-b3, LASSO",Neural network,"Neuralnetwork,RandomForest,LASSO",Late fusion,AUC,"0,72","0,83","0,11",No,No,No
TRUE,Wang F & al.,A novel multimodal deep learning model for preoperative prediction of microvascular invasion and outcome in hepatocellular carcinoma.,2023,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,"cancer, liver cancer",cancer,Diagnosis / Identification,"Structured/Tabular data, Image",HIGH,China,297,100,397,Bicentric,External validation,"SVM, Neural network, MLP","SVM, Neural network, MLP","SVM,Neuralnetwork",Hybrid fusion,AUC,"0,766","0,819","0,053",No,No,No
TRUE,Pfob A & al.,"The importance of multi-modal imaging and clinical information for humans and AI-based algorithms to classify breast masses (INSPiRED 003): an international, multicenter analysis.",2022,European radiology,Breast cancer,cancer,Diagnosis / Identification,"Structured/Tabular data, Image",HIGH,Mixed,915,373,1288,Multicentric,External validation,"XGboost, Logistic regression, ElasticNet","XGBoost, LR + ElasticNet penality","XGBoost,Logisticregression,Neuralnetwork",N/A,AUC,"0,83","0,9","0,07",No,No,No
TRUE,Qiu W & al.,Evaluating the Microsatellite Instability of Colorectal Cancer Based on Multimodal Deep Learning Integrating Histopathological and Molecular Data.,2022,Frontiers in oncology,"colorectal cancer, cancer",cancer,Diagnosis / Identification,"Omics, Image",MODERATE,USA,NA,NA,353,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","Res-net-34, CNN, MLP, Random Forest","CNN, MLP, res-net-34, compact bilinear pooling layer","Neuralnetwork,RandomForest",Late fusion,AUC,"0,809","0,952","0,143",No,No,No
TRUE,Schulz S & al.,Multimodal Deep Learning for Prognosis Prediction in Renal Cancer.,2021,Frontiers in oncology,"cancer, nephrology",cancer,Severity / Prognosis / Prediction,"Omics, Image",HIGH,Mixed,230,18,248,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)"", External validation",ResNet,"Neural network, Attention",Neuralnetwork,Late fusion,C-index,"0,78","0,81","0,03",No,No,No
TRUE,Zeng H & al.,Deep learning-based predictive model for pathological complete response to neoadjuvant chemotherapy in breast cancer from biopsy pathological images: a multicenter study.,2024,Frontiers in physiology,"Breast cancer, cancer",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,China,261,179,440,Multicentric,External validation,CNN,"VGG16, SVM, CNN",Neuralnetwork,Late fusion,AUC,"0,79","0,84","0,05",No,No,No
TRUE,Wang Y & al.,"Multimodal risk prediction with physiological signals, medical images and clinical notes.",2024,Heliyon,"mortality, hospitalisation",all conditions,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,USA,9890,1746,11636,Monocentric,Split-sample validation (1 seul split train/test),"LSTM, ResNet, Neural network","Neural network, RNN",Neuralnetwork,Hybrid fusion,AUC,"0,763","0,825","0,062",repo GH,No,No
TRUE,Rahaman M & al.,Deep multimodal predictome for studying mental disorders.,2023,Human brain mapping,"psychiatry, schizophrenia",psychiatry,Diagnosis / Identification,"Omics, Image",MODERATE,USA,?,?,437,Multicentric,"Split-sample validation (1 seul split train/test), ""Repeated split-sample validation (bootstrap - cross-validation - etc.)""",Auto Encoder,"Attention, FC Net, AE",Neuralnetwork,Hybrid fusion,Accuracy,"0,81","0,92","0,11",on demand,No,No
TRUE,Wang Z & al.,Multi-modality deep learning model reaches high prediction accuracy in the diagnosis of ovarian cancer.,2024,iScience,"cancer, gynecology, ovarian",cancer,Diagnosis / Identification,"Structured/Tabular data, Image",HIGH,China,844,210,1054,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""",ResNet-50,"Neural network, Attention, MLP",Neuralnetwork,Late fusion,AUC,"0,957","0,984","0,027",CC By 4.0,No,No
TRUE,Koutsouleris N & al.,Multimodal Machine Learning Workflows for Prediction of Psychosis in Patients With Clinical High-Risk Syndromes and Recent-Onset Depression.,2021,JAMA psychiatry,"psychiatry, psychosis",psychiatry,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,Europe,492,176,668,Multicentric,External validation,,,OtherMachineLearningAlgo,N/A,Accuracy,"0,679","0,713","0,034",No,No,No
TRUE,Wang Y & al.,Automated Multimodal Machine Learning for Esophageal Variceal Bleeding Prediction Based on Endoscopy and Structured Data.,2023,Journal of digital imaging,"bleeding, Esophageal variceal",gastro-enterology,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,China,341,161,502,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)"", External validation","ResNet, Xception, EfficientNet, ViT, ConvMixer","XGBoost, Neural network, Stacking, RF","Neuralnetwork,Stacking,RandomForest, ""GradientBoostingMachines(XGBoost,CatBoost,ect.)""",Late fusion,AUC,"0,864","0,975","0,111",on demand,No,No
TRUE,Caruso C & al.,A Multimodal Ensemble Driven by Multiobjective Optimisation to Predict Overall Survival in Non-Small-Cell Lung Cancer.,2022,Journal of imaging,"cancer, lung",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,Europe,172,19,191,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","Random Forest, MLP, Adaboost, Decision Tree, SVM, XGboost, VGG, AlexNet, DenseNet, GoogleNet, ShuffleNet","res-net-34, VGG, TabNet","Neuralnetwork,RandomForest,Adaboost,DecisionTree,SVM, ""GradientBoostingMachines(XGBoost,CatBoost,ect.)""",Late fusion,Accuracy,"0,74","0,75","0,01",No,No,No
TRUE,Fang C & al.,"Long-term SARS-CoV-2 neutralizing antibody level prediction using multimodal deep learning: A prospective cohort study on longitudinal data in Wuhan, China.",2023,Journal of medical virology,"Covid-19, antibody",infectious disease,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",LOW,China,450,90,450,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","Logistic regression, MLP, LSTM","Transformer, Neural network","Neuralnetwork,Logisticregression",Late fusion,AUC,"0,864","0,905","0,041",on demand,No,No
TRUE,Hibi A & al.,Development of a Multimodal Machine Learning-Based Prognostication Model for Traumatic Brain Injury Using Clinical Data and Computed Tomography Scans: A CENTER-TBI and CINTER-TBI Study.,2024,Journal of neurotrauma,"trauma, brain, injury",neurology,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,Mixed,1016,348,1364,Multicentric,"External validation, ""Repeated split-sample validation (bootstrap - cross-validation - etc.)""",Binary classifier,Vision Transformer 3D,"Neuralnetwork,Binaryclassifier",Early fusion,AUC,"0,817","0,846","0,029",repo GH,No,No
TRUE,Pinto S & al.,Use of Support Vector Machines Approach via ComBat Harmonized Diffusion Tensor Imaging for the Diagnosis and Prognosis of Mild Traumatic Brain Injury: A CENTER-TBI Study.,2023,Journal of neurotrauma,"neurology, trauma",neurology,Diagnosis / Identification,"Structured/Tabular data, Image",,Mixed,,,264,Multicentric,Repeated split-sample validation (bootstrap - cross-validation - etc.),"SVM, linearSVC, ComBat, Recursive feature elimination","SVM, linearSVC, ComBat, Recursive feature elimination","SVM, OtherMachineLearningAlgo",Early fusion,AUC,"0,56","0,88","0,32",No,No,No
TRUE,Golovanevsky M & al.,Multimodal attention-based deep learning for Alzheimer's disease diagnosis.,2022,Journal of the American Medical Informatics Association : JAMIA,"Alzheimer, dementia, mild cognitive impairment (MCI)",neurology,Diagnosis / Identification,"Structured/Tabular data, Omics, Image",HIGH,USA,215,24,239,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","Neural network, FC Net, CNN","Neural network, FC Net, CNN",Neuralnetwork,Late fusion,Accuracy,"0,9228","0,9688","0,046",No,No,No
TRUE,Lin W & al.,Prediction of multiclass surgical outcomes in glaucoma using multimodal deep learning based on free-text operative notes and structured EHR data.,2024,Journal of the American Medical Informatics Association : JAMIA,"glaucoma, ophtalmology",ophthalmology,Severity / Prognosis / Prediction,"Free text, Structured/Tabular data",MODERATE,USA,"928,2","397,8",1326,Monocentric,Split-sample validation (1 seul split train/test),"Transformer, LSTM, BERT",FC Net,Neuralnetwork,Hybrid fusion,AUC,"0,712","0,75","0,038",No,No,No
TRUE,Cai T & al.,DeepStroke: An efficient stroke screening framework for emergency rooms with multimodal adversarial deep learning.,2022,Medical image analysis,"neurology, stroke",neurology,Diagnosis / Identification,"Video, Signal",MODERATE,USA,168,53,221,Monocentric,"Split-sample validation (1 seul split train/test), External validation",ResNet,"FC Net, CNN",Neuralnetwork,Hybrid fusion,AUC,"0,6","0,72","0,12",No,No,No
TRUE,Ming X & al.,"Accurately Differentiating COVID-19, Other Viral Infection, and Healthy Individuals Using Multimodal Features via Late Fusion Learning",2020,Journal of Medical Internet Research,Covid-19,infectious disease,Diagnosis / Identification,"Structured/Tabular data, Image",HIGH,China,551,138,689,Multicentric,"Split-sample validation (1 seul split train/test), ""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","ResNet, SVM, Random Forest, KNN",FC Net,"Neuralnetwork,SVM,RandomForest,KNN",Late fusion,Accuracy,"0,908","0,977","0,069",No,No,No
TRUE,"Sievering I & al.
",Anatomy-informed multimodal learning for myocardial infarction prediction,2023,IEEE Open Journal of Engineering in Medicine and Biology,myocardial infarction,cardiovascular,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,Europe,,,445,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","CNN, restnet-18","CNN, restnet-18",Neuralnetwork,Late fusion,AUC,"0,64","0,67","0,03",No,No,No
TRUE,Fremond-Volinsky S & al.,HECTOR: multimodal deep learning predicts recurrence risk in endometrial cancer,2024,Nature Medicine,"cancer, gynecology, endometrial",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,Europe,1408,504,1912,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)"", External validation","Transformer, ResNet","Neural network, FC Net",Neuralnetwork,Late fusion,C-index,"0,775","0,816","0,041",Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International ,No,No
TRUE,Vale-Silva L & al.,MultiSurv: Long-term cancer survival prediction using multimodal deep learning,2021,Scientific reports,cancer,cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Omics, Image",HIGH,USA,8868,1148,11167,Multicentric,Split-sample validation (1 seul split train/test),"ResNet-50, FC Net","Neural network, FC Net",Neuralnetwork,Late fusion,C-index,"0,809","0,822","0,013",No,No,No
TRUE,Zambrano Chaves J & al.,Opportunistic Assessment of Ischemic Heart Disease Risk Using Abdominopelvic Computed Tomography and Medical Record Data: a Multimodal Explainable Artificial Intelligence Approach,2023,Scientific reports,myocardial infarction,cardiovascular,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,USA,"6511,2","1627,8",8139,Monocentric,Split-sample validation (1 seul split train/test),"U-Net, CNN, efficient net b6, XGboost","U-Net, CNN, efficient net b6, XGboost","Neuralnetwork,XGBoost",Late fusion,AUC,"0,78","0,81","0,03",Apache License,No,No
TRUE,Tang Y & al.,Prediction of Type II Diabetes Onset with Computed Tomography and Electronic Medical Records.,2020,"Multimodal learning for clinical decision support and clinical image-based procedures : 10th International Workshop, ML-CDS 2020, and 9th International Workshop, CLIP 2020, held in conjunction with MICCAI 2020, Lima, Peru, October 4-8, ...",diabetes,endocrinology,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",MODERATE,USA,800,197,997,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""",CNN,"CNN, Neural network",Neuralnetwork,Late fusion,AUC,"0,84","0,89","0,05",No,No,No
TRUE,Lassau N & al.,"Integrating deep learning CT-scan model, biological and clinical variables to predict severity of COVID-19 patients.",2021,Nature communications,"Covid-19, infectious disease",infectious disease,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,Europe,,,931,Bicentric,"External validation, Split-sample validation (1 seul split train/test)",Neural network,Neural network,Neuralnetwork,N/A,AUC,"0,76","0,79","0,03",AGPL-3.0 license,No,No
TRUE,Prajna N & al.,Multimodal Deep Learning for Differentiating Bacterial and Fungal Keratitis Using Prospective Representative Data.,2025,Ophthalmology Science,"infectious disease, ophtalmology",infectious disease,Diagnosis / Identification,"Structured/Tabular data, Image",,India,,,599,Monocentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""","EfficientNet, Neural network","EfficientNet, Neural network",Neuralnetwork,Late fusion,AUC,"0,81","0,82","0,01",N/A,No,No
TRUE,Xiong J & al.,Multimodal Machine Learning Using Visual Fields and Peripapillary Circular OCT Scans in Detection of Glaucomatous Optic Neuropathy.,2022,Ophthalmology,"glaucoma, OCT, neuropathy",ophthalmology,Diagnosis / Identification,"Structured/Tabular data, Image",HIGH,China,1567,896,2463,Multicentric,"External validation, Split-sample validation (1 seul split train/test)","OCTNet, VFNet",FusionNet,Neuralnetwork,Late fusion,AUC,"0,868","0,95","0,082",MIT License,No,No
